url,title,price,price_member,color
https://ao.com/product/wd80ta046be-samsung-series-5-ecobubble-washer-dryer-white-76922-2.aspx,Samsung Series 5 ecobubble™ WD80TA046BE 8Kg / 5Kg Washer Dryer with 1400 rpm - White - E Rated,£579,£559,white
https://ao.com/product/ballanimalup32-dyson-ball-animal-upright-vacuum-cleaner-silver-93930-60.aspx,Dyson Ball Animal Upright Vacuum Cleaner,£279,£265,silver
https://ao.com/product/hdd4106ambc-hoover-hwash-500-washer-dryer-white-76014-2.aspx,Hoover H-WASH 500 HDD4106AMBC Wifi Connected 10Kg / 6Kg Washer Dryer with 1400 rpm - White - D Rated,£649,,white
https://ao.com/product/fwy706wwtn1-lg-turbowash360-washer-dryer-white-98106-2.aspx,LG TurboWash™360 FWY706WWTN1 10Kg / 6Kg Washer Dryer with 1400 rpm - White - D Rated,£849,,white
https://ao.com/product/fwy916wbtn1-lg-turbowash360-washer-dryer-white-98104-2.aspx,LG TurboWash™360 FWY916WBTN1 Wifi Connected 11Kg / 6Kg Washer Dryer with 1400 rpm - White - D Rated,£949,,white
https://ao.com/product/wdn064slduk-smeg-washer-dryer-white-98668-2.aspx,Smeg WDN064SLDUK 10Kg / 6Kg Washer Dryer with 1400 rpm - White - D Rated,£799,,white
https://ao.com/product/44702901-dyson-v11-cordless-vacuum-cleaner-blue-97433-155.aspx,Dyson V11 Cordless Vacuum Cleaner with up to 60 Minutes Run Time - Blue / Nickel,£429,£407,blue
https://ao.com/product/wd90ta046be-samsung-washer-dryer-white-96464-2.aspx,Samsung WD90TA046BE 9Kg / 6Kg Washer Dryer with 1400 rpm - White - E Rated,£629,,white
https://ao.com/product/hdd4106ambcr-hoover-hwash-500-washer-dryer-silver-76012-2.aspx,Hoover H-WASH 500 HDD4106AMBCR Wifi Connected 10Kg / 6Kg Washer Dryer with 1400 rpm - Graphite - D Rated,£679,,silver
https://ao.com/product/hwd100b14979s-haier-washer-dryer-silver-76606-2.aspx,Haier HWD100-B14979S 10Kg / 6Kg Washer Dryer with 1400 rpm - Graphite - D Rated,£599,£569,silver
https://ao.com/product/hbd495d1e1-hoover-hwashdry-300-lite-washer-dryer-white-84946-2.aspx,Hoover H-WASH&DRY 300 LITE HBD495D1E/1 Integrated 9Kg / 5Kg Washer Dryer with 1400 rpm - White - E Rated,£529,,white
https://ao.com/product/cbd495d1we1-candy-washer-dryer-white-79140-2.aspx,Candy CBD495D1WE/1 Integrated 9Kg / 5Kg Washer Dryer with 1400 rpm - White - E Rated,£489,,white
https://ao.com/product/hwd90b14939s-haier-ipro-series-3-washer-dryer-silver-95320-2.aspx,Haier i-Pro Series 3 HWD90-B14939S 9Kg / 6Kg Washer Dryer with 1400 rpm - Graphite - D Rated,£599,,silver
https://ao.com/product/fwy916bbtn1-lg-turbowash360-washer-dryer-black-98103-2.aspx,LG TurboWash™360 FWY916BBTN1 Wifi Connected 11Kg / 6Kg Washer Dryer with 1400 rpm - Platinum Black - D Rated,£949,,black
https://ao.com/product/wd10t654dbh-samsung-series-6-addwash-washer-dryer-white-76917-2.aspx,Samsung Series 6 AddWash™ WD10T654DBH Wifi Connected 10.5Kg / 6Kg Washer Dryer with 1400 rpm - White - E Rated,"£1,300",,white
https://ao.com/product/smv4hvx38g-bosch-series-4-standard-dishwasher-grey-83377-23.aspx,Bosch Series 4 SMV4HVX38G Wifi Connected Fully Integrated Standard Dishwasher - Grey Control Panel with Fixed Door Fixing Kit - D Rated,£579,£559,grey
https://ao.com/product/spv2hkx39g-bosch-series-2-slimline-dishwasher-black-75786-24.aspx,Bosch Series 2 SPV2HKX39G Wifi Connected Fully Integrated Slimline Dishwasher - Black Control Panel with Fixed Door Fixing Kit - E Rated,£499,£484,black
